Feature,Importance
cat__ChargerID_694,0.0
cat__ChargerID_693,0.0
cat__ChargerID_692,0.0
cat__ChargerID_691,0.0
cat__ChargerID_690,0.0
cat__ChargerID_689,0.0
cat__ChargerID_688,0.0
cat__ChargerID_687,0.0
cat__ChargerID_686,0.0
cat__ChargerID_685,0.0
cat__ChargerID_684,0.0
cat__ChargerID_683,0.0
cat__ChargerID_682,0.0
cat__ChargerID_681,0.0
cat__ChargerID_713,0.0
cat__ChargerID_712,0.0
cat__ChargerID_711,0.0
cat__ChargerID_710,0.0
cat__ChargerID_708,0.0
cat__ChargerID_707,0.0
cat__ChargerID_706,0.0
cat__ChargerID_705,0.0
cat__ChargerID_704,0.0
cat__ChargerID_703,0.0
cat__ChargerID_702,0.0
cat__ChargerID_701,0.0
cat__ChargerID_700,0.0
cat__ChargerID_699,0.0
cat__ChargerID_698,0.0
cat__ChargerID_697,0.0
cat__ChargerID_729,0.0
cat__ChargerID_728,0.0
cat__ChargerID_727,0.0
cat__ChargerID_726,0.0
cat__ChargerID_725,0.0
cat__ChargerID_724,0.0
cat__ChargerID_723,0.0
cat__ChargerID_722,0.0
cat__ChargerID_721,0.0
cat__ChargerID_720,0.0
cat__ChargerID_719,0.0
cat__ChargerID_718,0.0
cat__ChargerID_717,0.0
cat__ChargerID_716,0.0
cat__ChargerID_715,0.0
cat__ChargerID_714,0.0
cat__ChargerID_745,0.0
cat__ChargerID_744,0.0
cat__ChargerID_743,0.0
cat__ChargerID_742,0.0
cat__ChargerID_741,0.0
cat__ChargerID_739,0.0
cat__ChargerID_738,0.0
cat__ChargerID_737,0.0
cat__ChargerID_736,0.0
cat__ChargerID_734,0.0
cat__ChargerID_733,0.0
cat__ChargerID_731,0.0
cat__ChargerID_730,0.0
cat__ChargerID_764,0.0
cat__ChargerID_763,0.0
cat__ChargerID_762,0.0
cat__ChargerID_761,0.0
cat__ChargerID_760,0.0
cat__ChargerID_759,0.0
cat__ChargerID_756,0.0
cat__ChargerID_755,0.0
cat__ChargerID_754,0.0
cat__ChargerID_753,0.0
cat__ChargerID_752,0.0
cat__ChargerID_751,0.0
cat__ChargerID_750,0.0
cat__ChargerID_749,0.0
cat__ChargerID_747,0.0
cat__ChargerID_746,0.0
cat__ChargerID_780,0.0
cat__ChargerID_779,0.0
cat__ChargerID_778,0.0
cat__ChargerID_777,0.0
cat__ChargerID_776,0.0
cat__ChargerID_775,0.0
cat__ChargerID_774,0.0
cat__ChargerID_772,0.0
cat__ChargerID_771,0.0
cat__ChargerID_769,0.0
cat__ChargerID_768,0.0
